wife_age,wife_education,husband_education,children,wife_religion,wife_working,husband_occupation,standard_of_living_index,media_exposure,contraceptive_method_used
35,3,4,2,1,0,2,3,0,3
32,3,3,3,1,0,2,4,0,3
32,3,3,2,1,0,2,3,0,3
29,3,3,2,1,0,2,3,0,3
33,4,4,2,1,0,2,3,0,3
36,3,4,3,1,0,3,3,0,3
34,3,3,3,1,0,2,3,0,3
32,3,4,2,1,0,3,3,0,3
31,3,3,2,1,0,2,3,0,3
34,3,4,2,1,0,2,3,0,3
32,3,3,3,1,0,2,3,0,3
33,3,3,2,1,0,3,3,0,3
31,3,3,1,1,0,3,3,0,3
31,3,4,3,1,0,2,3,0,3
35,3,4,3,1,0,2,3,0,3
33,3,4,2,1,0,2,3,0,3
30,3,3,1,1,0,3,3,0,3
35,3,3,3,1,0,2,3,0,3
32,3,3,2,1,0,2,3,0,3
34,3,3,2,1,0,2,3,0,3
38,3,4,3,1,0,2,3,0,3
33,3,4,1,1,0,2,3,0,3
36,3,3,3,1,0,2,3,0,3
33,3,4,3,1,0,2,3,0,3
32,3,3,1,1,0,2,3,0,3
32,3,3,2,1,0,2,3,0,3
31,3,3,3,1,0,2,3,0,3
29,3,3,2,1,0,3,3,0,3
33,3,4,2,1,0,2,4,0,3
34,3,4,3,1,1,2,3,0,3
35,3,3,2,1,0,2,3,0,3
36,3,3,2,1,0,2,3,0,3
33,3,4,3,1,0,2,4,0,3
35,3,4,3,1,0,3,3,0,3
33,3,4,3,1,0,2,3,0,3
32,4,4,2,1,1,3,4,0,3
33,3,3,2,1,0,2,3,0,3
34,3,4,1,1,0,2,3,0,3
35,3,4,2,1,0,3,4,0,3
33,3,4,2,1,0,2,3,0,3
35,3,4,2,1,0,2,3,0,3
34,3,3,3,1,0,2,4,0,3
32,3,3,2,1,0,2,3,0,3
33,3,4,2,1,0,3,1,0,3
33,3,3,2,1,0,2,3,0,3
36,3,4,2,1,0,2,3,0,3
33,3,3,3,1,0,2,3,0,3
35,3,4,2,1,0,2,3,0,3
